,Species,Species ID,auc_roc,accuracy,Model,Params
0,Tadarida brasiliensis,41301,0.8834724160867387,0.6825023518344309,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Thryomanes bewickii,7576,0.909177638275549,0.7518814675446849,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Anaxyrus boreas,64970,0.9375520867472588,0.8835841956726247,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Charadrius vociferus,4793,,0.6197083725305739,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Baeolophus bicolor,13632,0.9851077787867594,0.9421448730009407,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Megascops asio,19765,0.9481796550706012,0.7262464722483537,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Melanerpes erythrocephalus,18204,0.9653745511414766,0.8748824082784572,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Scaphiopus couchii,26691,0.9664364108053892,0.9454374412041392,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Elgaria multicarinata,32055,0.9789689072139571,0.9849482596425212,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
0,Odocoileus hemionus,42220,0.9611095057631991,0.882173095014111,"GridSearchCV(cv=5, estimator=RandomForestClassifier(),
             param_grid={'max_depth': [3, 5, 10],
                         'max_features': ['auto', 'sqrt'],
                         'n_estimators': [50, 100, 200]},
             scoring='roc_auc')",base
